
Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))
Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Waters ACQUITY UPLC BEH C18, usp_code=column.usp.code_L1, length=50.0, id=2.1, particle_size=1.7, temperature=40.0, flowrate=0.6, t0=0.18375))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.meoh 0, columna=Column(name=Phenomenex Kinetex EVO C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288))

Config(eluyente1=eluent.1.h2o 0, eluyente2=eluent.2.acn 0, columna=Column(name=Phenomenex Kinetex PS C18, usp_code=column.usp.code_L1, length=150.0, id=3.0, particle_size=2.6, temperature=40.0, flowrate=0.35, t0=1.9285714285714288))

